COSMIC_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG64493	SNORA71A	ENSG00000225091.3	26777	10232	n	n
COSG64499	LINC01887	ENSG00000266604.1		52706	n	n
COSG64520	MTND4LP16	ENSG00000234731.2		42250	n	n
COSG64537	TDP1	ENSG00000042088.13	55775	18884	n	n
COSG65682	AC006989.1	ENSG00000224518.2			n	n
COSG65691	CLDN3	ENSG00000165215.6	1365	2045	n	n
COSG65697	SF3B4	ENSG00000143368.9	10262	10771	n	n
COSG65703	IGLC4	ENSG00000254029.1		5858	n	n
COSG65722	ANKRD36C	ENSG00000174501.14	400986	32946	n	n
COSG65738	RNY1P6	ENSG00000206920.1		42483	n	n
COSG65748	AC005943.2	ENSG00000279009.1			n	n
COSG62163	RF00156	ENSG00000251796.1			n	n
COSG62191	KIAA1614	ENSG00000135835.11	57710	29327	n	n
COSG62193	SNORD77B	ENSG00000212414.1		52235	n	n
COSG62197	AL512604.3	ENSG00000260100.1			n	n
COSG62200	AC016394.2	ENSG00000272599.2			n	n
COSG62222	AC007552.1	ENSG00000256450.1			n	n
COSG63366	OR2G6	ENSG00000188558.6	391211	27019	n	n
COSG63383	LINC00842	ENSG00000285294.1		44989	n	n
COSG63384	PSMD10	ENSG00000101843.18	5716	9555	n	n
COSG63391	DUX4L31	ENSG00000231411.1		51770	n	n
COSG63399	AC021439.1	ENSG00000261622.1			n	n
COSG63409	AC092162.2	ENSG00000230552.5			n	n
COSG64548	CKS1BP2	ENSG00000225976.5		24232	n	n
COSG64560	CT45A2	ENSG00000271449.7	728911	28400	n	n
COSG64568	SYF2P1	ENSG00000258350.1		19925	n	n
COSG64579	KRT17	ENSG00000128422.15	3872	6427	n	n
COSG64595	MRPS15P1	ENSG00000259186.1		29730	n	n
COSG65760	RF00019	ENSG00000200591.1			n	n
COSG65789	SEMA3E	ENSG00000170381.13	9723	10727	n	n
COSG65795	AC007663.2	ENSG00000249923.1			n	n
COSG65817	LINC01266	ENSG00000224957.5		50309	n	n
